year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2012,ALB,Albania,Eastern Europe,5,4.9,3.6,4.493650794,7.849343793,10,10,10,10,10,10,10,7.5,10,5,7.5,8.333333333,8.727559042,10,5,5,6.666666667,10,7.5,8.75,9.955555556,9.211111111,9.305555556,10,10,10,7.5,8.75,10,5,7.5,10,7.5,8.75,9,10,10,5,5.75,10,10,10,8.678571429,,10,10,10,10,10,10,,10,7.670381824,56,8.147058824,7.611650546,8,10,7,8.5,8.064677342,2.220287917,3.229333792,3.0756115,8.333333333,4.166666667,4.338835053,5.727630429,4.492724667,5.418315583,0.962962963,4.471492107,9.432127673,9.816833933,9.594,10,9.710740401,9.613333333,9.24,8.0392,8.964177778,5.1140775,7.447590542,6.280834021,10,5.034644125,4.615384615,0,3.216676247,7.115422011,5,6.167605088,10,7.055868363,5.566666667,5.683725583,5.453824833,8,6.299740913,10,6.833992999,4.848194333,6,9.634281379,3.357370362,,5.998270451,5.967623305,6.619161556,7.2,59,7.435190912,54,2
2012,DZA,Algeria,Middle East & North Africa,,,,4.045818,9.443111186,5,7.728433134,5,9.733800758,9.440981592,7.380643097,10,7.5,5,5,5,7.5,8.107918094,5,5,0,3.333333333,2.5,5,3.75,7.595555556,3.702777778,5.016111111,5,2.5,2.5,5,3.75,2.5,5,3.75,2.5,5,3.75,3.75,10,10,3,4.25,10,7.5,7.5,7.464285714,,0,10,5,0,0,0,,2.5,5.244807039,141,0.382352941,7.817129014,0,7,2,4.5,3.174870489,3.690188544,2.806609662,3.706941077,5,5,4.386015534,6.475498253,4.577515964,5.103555078,0.730769231,3.91791578,9.169656128,5.595407258,8.222,5,6.996765846,8.48,6.28,5.832,6.864,4.050592022,7.053280543,5.551936282,7.197871801,3.733771534,0,1.106256413,1.613342649,5.306787683,0,9.941747557,10,6.647249186,5.566666667,2.755986905,5.686969803,6,7.755176154,1,4.794133255,2.506805595,1.333333333,8.975566275,2.711133849,6.879550846,4.944593763,4.558497277,5.333293239,4.95,149,5.09740352,146,4
2012,AGO,Angola,Sub-Saharan Africa,,,,7.304392,8.060260239,5,10,7.5,10,10,8.5,10,10,5,5,5,8.333333333,8.297864524,5,0,5,3.333333333,5,5,5,8.244444444,7.269444444,6.837962963,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,3,10,10,3.666666667,3,7.5,5,7.5,6.666666667,,10,10,10,0,0,0,,5,6.384360427,105,1.779411765,8.403203164,0,10,9,9.5,4.920653732,2.40196,2.461703333,2.941176667,3.333333333,4.166666667,2.302200397,5.404111927,3.285715,3.989898333,0.962962963,3.302877736,8.842996876,4.448758362,7.942,5,6.55843881,9.093333333,8.54,7.3136,8.315644444,4.558823333,4.125787281,4.342305307,10,3.4180675,2.307692308,0,1.908586603,6.141634089,8,10,9,9,3.333333333,3.186275,5.46875,4,0.646567308,0,2.772487607,2.941176667,1.555555556,6.448806639,2.297055286,7.540182451,6.838969936,4.603624422,5.45870401,5.28,141,5.832180214,133,4
2012,ARG,Argentina,Latin America & the Caribbean,6.6,5.4,3.7,5.23968254,6.996848529,10,10,7.5,10,10,9.5,10,10,10,10,10,10,8.832282843,10,10,10,10,10,10,10,9.111111111,7.127777778,8.746296296,10,10,10,5,7.5,5,5,5,10,10,10,8.5,10,10,5.666666667,4.25,10,10,10,8.55952381,,10,10,10,10,10,10,,10,8.098573356,46,5.702941176,5.243417889,6,7,1,4,5.236589766,2.293891497,2.097857031,2.451976612,7.5,3.3,4.772538354,6.819396628,2.932123673,4.364055965,0.962962963,3.983924912,6.816829627,9.364582497,5.12,5,6.575353031,3.593333333,7.5,5.9,5.664444444,2.447807742,7.285163586,4.866485664,1.196754564,3.839134212,0.769230769,4.646276935,3.084880639,3.703141328,5,9.372,7,7.124,3.9,2.86455976,2.770201361,10,2.517253846,10,5.342002495,2.197828053,4.222222222,8.971860394,2.802102356,4.576327009,5.460222781,4.705093802,5.723698766,5.04,146,6.569286678,102,3
2012,ARM,Armenia,Caucasus & Central Asia,,,,4.626112,9.097824299,10,10,7.5,10,10,9.5,10,7.5,10,10,10,9.166666667,9.254830322,5,5,10,6.666666667,5,5,5,8.355555556,5.416666667,6.257407407,5,7.5,10,10,10,5,7.5,6.25,10,10,10,7.75,10,10,3.666666667,4.5,10,10,10,8.30952381,,10,10,10,10,10,10,,10,7.368595369,67,8.494117647,7.995039669,10,9,7,8,8.622289329,3.251128778,4.19086035,5.925755991,5.833333333,5,5.014408766,9.834834214,5.074950077,7.889837188,1,5.779456522,9.665126098,8.211887082,9.488,10,9.341253295,9.033333333,9.3,8.362,8.898444444,5.141316991,7.699119571,6.420218281,10,5.591834842,5.384615385,1.106256413,4.02756888,7.336557901,10,9.151722694,10,9.717240898,6.666666667,6.328173974,7.364381,10,8.992707249,0,6.558654815,4.766631701,5.777777778,9.86037896,4.495638061,9.425849043,5.740455942,6.677788581,7.651228098,7.75,13,7.559297684,50,2
2012,AUS,Australia,Oceania,8.5,7.3,7.3,7.680952381,9.574092353,10,10,10,10,10,10,9.5,10,10,10,10,9.833333333,9.802475229,10,10,10,10,10,10,10,8.926666667,8.516666667,9.147777778,10,10,10,10,10,10,7.5,8.75,10,5,7.5,9.25,10,10,8.666666667,7.5,10,10,10,9.452380952,,10,10,10,10,10,10,,10,9.155872775,12,4.411764706,6.785688023,10,6,5,5.5,6.674363182,7.90158432,5.755223047,7.058891147,10,9.166666667,6.163151928,8.271397245,8.306306813,7.275386467,1,7.766511959,9.02100849,9.150925551,9.888,10,9.51498351,9.246666667,9.46,8.8984,9.201688889,6.345426,8.910460662,7.627943331,10,7.30729604,4.615384615,0.110625641,4.011102099,7.71018358,10,8.788644304,10,9.596214768,8.9,3.082898213,4.556384947,6,7.927854911,10,6.744523012,2.967637613,10,9.912605544,7.449437078,9.06877291,8.823020721,8.036912311,8.125883364,7.96,8,8.557936388,7,1
2012,AUT,Austria,Western Europe,9.1,7.5,8.1,8.236507937,9.62900121,10,10,10,10,10,10,9.5,10,10,10,10,9.833333333,9.820778181,10,10,10,10,10,10,10,8.426666667,6.2,8.208888889,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7.333333333,8,10,10,10,9.333333333,,10,10,10,10,10,10,,10,9.268543752,7,4.205882353,3.292381224,10,4,3,3.5,5.249565894,6.837838983,5.951822197,8.146518262,10,10,6.378971834,8.10049394,8.212631375,8.32348601,1,7.994640289,8.896678682,9.752033201,9.502,10,9.537677971,9.633333333,8.9,6.106,8.213111111,6.341617348,8.910460662,7.626039005,10,6.385597087,3.076923077,6.416287196,5.292935787,7.783021476,8,9.080226331,10,9.02674211,10,3.860848833,2.315070873,8,10,3,6.195986618,3.918886809,8.888888889,8.992453046,6.956761902,7.654097399,8.139251806,7.425056642,7.54926179,7.62,21,8.444271876,12,1
2012,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.016059,9.127892889,10,9.103536255,7.5,10,10,9.320707251,10,7.5,5,5,5,7.5,8.64953338,5,5,5,5,2.5,2.5,2.5,7.751111111,5.552777778,5.267962963,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,10,0.318191559,1,1.75,7.5,7.5,7.5,5.081170223,,10,10,10,10,10,10,,10,6.001311414,125,5.676470588,8.122631195,0,8,4,6,4.949775446,3.803804565,4.633253546,4.964515602,5.833333333,5.833333333,7.554419476,9.627752769,5.535753653,7.877120134,0.923076923,5.946932309,9.187344129,3.468217212,9.788,5,6.860890335,9.093333333,8.18,6.6512,7.974844444,5.419328727,6.255895438,5.837612082,10,5.411772162,4.615384615,0,3.342385592,6.78871053,5,10,9,8,8.333333333,6.53128031,7.397378171,8,7.755176154,1,6.502861328,5.277721157,6,9.765379811,4.380426134,6.950524385,7.601204136,6.662542604,7.055134644,6.32,113,6.160655707,123,4
2012,BHS,Bahamas,Latin America & the Caribbean,,,,6.099166,0,10,10,,10,10,10,,10,,,,10,6.666666667,10,10,10,10,,,,9.666666667,6.525,8.095833333,,,,,,,,,,,,,10,10,9,7.75,,,,9.1875,,10,10,10,10,10,10,,10,7.851874833,51,6.617647059,8.947548102,7,10,10,10,8.14129879,,6.596738383,,10,7.5,5.490581383,3.716887055,,,0.945945946,6.480818625,9.333553066,9.381653081,9.606,0,7.080301537,3.933333333,2.82,2.9636,3.238977778,,7.759810552,7.759810552,10,,0.769230769,7.965046175,4.367138472,6.3414817,10,5.868199597,10,8.622733199,8.9,,,10,6.546424852,10,8.861606213,,5.555555556,9.138365057,,7.965073929,9.349859065,8.002213402,8.495517605,7.31,50,7.580937417,48,2
2012,BHR,Bahrain,Middle East & North Africa,,,,5.637907,9.876943618,0,10,2.5,8.974530149,4.308642327,5.156634495,10,7.5,0,0,0,5.833333333,6.955637149,5,10,5,6.666666667,7.5,7.5,7.5,6.966666667,4.119444444,6.19537037,5,2.5,7.5,5,6.25,7.5,7.5,7.5,7.5,7.5,7.5,5.75,0,2.308976117,0.666666667,0.75,10,7.5,2.5,3.389377541,,0,0,0,10,10,10,,5,5.848527495,129,3.647058824,9.301907357,4,10,10,10,6.737241545,5.857567406,5.08992065,7.514981008,5,7.5,4.785814418,8.526603297,6.653212959,5.751165822,0.536585366,4.838473889,9.627261934,5.345007893,9.45,10,8.605567457,9.513333333,9,6.86,8.457777778,6.469158943,8.305666627,7.387412785,10,7.643568952,6.666666667,0.553128207,4.954454608,7.699911293,10,9.388,10,9.796,8.333333333,5.448387759,8.181079431,8,10,10,8.327133421,5.668751113,7.777777778,8.959489467,7.086794404,9.924347209,9.596464247,8.16893737,8.764023597,7.33,46,6.589263747,99,3
